icao24,origin_country,velocity,on_ground
e8027c,Chile,246.17,False
e8027e,Chile,2.06,True
a8a812,United States,0.0,True
a7250f,United States,39.06,False
aa9321,United States,286.34,False
a53edd,United States,149.92,False
c07d25,Canada,65.38,False
a23582,United States,33.12,False
a3b87f,United States,186.98,False
39de53,France,234.62,False
39de55,France,2.83,True
a4d86a,United States,196.83,False
a0928e,United States,85.37,False
acdfa6,United States,255.34,False
ac4963,United States,204.09,False
a3b88e,United States,220.43,False
a58227,United States,48.23,False
80163f,India,102.44,False
ac2308,United States,176.68,False
c047e9,Canada,63.69,False
a23561,United States,83.97,False
c06a11,Canada,150.55,False
aaf656,United States,0.32,True
a09273,United States,22.47,False
a97808,United States,102.84,False
ac231d,United States,77.31,False
a0e250,United States,0.77,True
a64bd7,United States,99.4,False
39de45,France,75.5,False
a1025a,United States,210.8,False
39de48,France,141.75,False
ad694c,United States,206.28,False
407a06,United Kingdom,222.24,False
a34215,United States,0.0,True
aad009,United States,66.31,False
80166c,India,242.63,False
511187,Estonia,231.65,False
e8023b,Chile,191.79,False
adeca7,United States,83.02,False
44028c,Austria,129.17,False
adeca5,United States,237.02,False
ac498c,United States,243.5,False
44028a,Austria,238.86,False
a2228b,United States,189.64,False
abacd2,United States,212.89,False
4acb01,Sweden,228.18,False
4acb02,Sweden,9.26,True
ab167d,United States,,False
ad564b,United States,180.43,False
4bc8c8,Turkey,108.9,False
a4d824,United States,114.93,False
4bc8c4,Turkey,209.22,False
4bc8c3,Turkey,111.79,False
ab0361,United States,229.53,False
a7bc8e,United States,213.32,False
80167e,India,0.0,True
c02294,Canada,126.93,False
80167f,India,141.65,False
ab5cfc,United States,197.3,False
abf008,United States,235.24,False
acdfcc,United States,70.85,False
adffc8,United States,214.34,False
801694,India,241.33,False
801698,India,230.06,False
aa0934,United States,65.34,False
aae358,United States,102.08,False
4bc8d3,Turkey,213.93,False
a4d838,United States,233.56,False
ac234a,United States,81.02,False
80164f,India,220.25,False
a35592,United States,265.08,False
471efa,Hungary,234.47,False
47b217,Norway,253.12,False
471eff,Hungary,249.47,False
471efc,Hungary,81.85,False
471efd,Hungary,222.36,False
ac3688,United States,189.45,False
e80275,Chile,181.79,False
801665,India,272.22,False
a3b85b,United States,39.87,False
44029f,Austria,10.29,True
adffe8,United States,238.38,False
adecb6,United States,189.83,False
407a3f,United Kingdom,126.54,False
e8026c,Chile,112.0,False
ae6316,United States,185.55,False
a5f825,United States,230.75,False
a3689e,United States,0.0,True
a3556f,United States,0.0,True
ac1042,United States,0.0,True
abf025,United States,0.0,True
aae36f,United States,255.05,False
e8027a,Chile,237.52,False
a53ee2,United States,89.0,False
3455da,Spain,216.94,False
4acb41,Sweden,248.06,False
4acb43,Sweden,245.91,False
ada4cf,United States,59.43,False
a4b294,United States,1.29,True
adda24,United States,197.36,False
adda25,United States,156.23,False
adda23,United States,137.91,False
0d11bf,Mexico,174.8,False
accd69,United States,9.77,True
a03d4c,United States,167.24,False
4acb59,Sweden,245.7,False
e0b298,Argentina,32.01,False
a5829d,United States,201.89,False
a0f4a2,United States,0.0,True
e8021c,Chile,257.91,False
a71291,United States,197.62,False
4bc8cb,Turkey,224.98,False
e8021d,Chile,225.1,False
e8021f,Chile,200.3,False
3455c1,Spain,236.08,False
3c5ee2,Germany,217.73,False
ad41ed,United States,240.32,False
3c5ef8,Germany,73.14,False
e8022a,Chile,223.35,False
a34291,United States,154.72,False
46b82a,Greece,249.89,False
a127bb,United States,228.12,False
46b82c,Greece,169.83,False
a9787f,United States,44.52,False
e80244,Chile,117.59,False
a5d28c,United States,0.51,True
a96560,United States,51.58,False
a8a87e,United States,233.86,False
c07bc7,Canada,264.63,False
440219,Austria,194.78,False
c04882,Canada,60.46,False
c0220d,Canada,245.46,False
ac490c,United States,119.47,False
46b831,Greece,240.62,False
46b835,Greece,85.6,False
44020c,Austria,215.67,False
a8a859,United States,58.37,False
a8452b,United States,53.41,False
a8eed8,United States,212.71,False
a6f207,United States,88.5,False
a52bfb,United States,206.41,False
a5958b,United States,4.37,True
46b824,Greece,215.83,False
46b825,Greece,239.0,False
aaf607,United States,40.52,False
a091e9,United States,217.08,False
a1ad49,United States,95.69,False
a27d55,United States,71.87,False
a95219,United States,60.39,False
aa099e,United States,250.41,False
440237,Austria,141.45,False
ab6fbf,United States,209.9,False
a091b4,United States,0.0,True
a247f0,United States,186.64,False
47880f,Norway,0.0,True
c04893,Canada,55.85,False
47880d,Norway,70.48,False
440224,Austria,199.44,False
e80201,Chile,232.73,False
c0488a,Canada,0.0,True
a234b9,United States,216.09,False
aa931d,United States,1.29,True
aa931c,United States,59.43,False
a7bbb2,United States,129.4,False
aaf625,United States,270.1,False
8014a0,India,219.68,False
a2ba48,United States,254.48,False
a3a4cb,United States,47.87,False
a38a3a,United States,172.25,False
aa07f9,United States,0.0,True
e0b217,Argentina,14.55,False
a101f9,United States,217.72,False
c0482a,Canada,187.61,False
4aca9a,Sweden,139.55,False
a4d7dc,United States,193.81,False
c03517,Canada,0.0,True
a88d07,United States,93.21,False
a88d06,United States,135.02,False
885222,Thailand,219.36,False
e49ec9,Brazil,140.84,False
343194,Spain,203.07,False
a4b1a1,United States,117.84,False
885223,Thailand,251.14,False
ab5d2c,United States,234.62,False
a3a4de,United States,84.44,False
c0481c,Canada,212.51,False
ab14c1,United States,51.57,False
a2ba1f,United States,76.74,False
a40d51,United States,49.77,False
a8dd00,United States,29.33,False
a4c4e1,United States,58.59,False
accd13,United States,251.67,False
aaf4ab,United States,0.0,True
4aca81,Sweden,244.07,False
4aca84,Sweden,159.75,False
4aca83,Sweden,245.02,False
4aca86,Sweden,243.79,False
4aca85,Sweden,237.49,False
c81d7e,New Zealand,195.64,False
8a047a,Indonesia,0.0,True
4aca89,Sweden,247.79,False
a857ce,United States,2.31,True
e07585,Argentina,201.06,False
e07583,Argentina,219.34,False
a0f4f6,United States,2.83,True
a3ed89,United States,188.85,False
c02207,Canada,232.4,False
c04850,Canada,162.08,False
4aca90,Sweden,253.56,False
4aca93,Sweden,249.72,False
4aca92,Sweden,254.25,False
a4b1c7,United States,196.3,False
4aca94,Sweden,240.69,False
a63a40,United States,146.22,False
ab5d62,United States,36.61,False
4aca96,Sweden,242.28,False
c81d8e,New Zealand,204.15,False
4aca99,Sweden,188.3,False
a3ed96,United States,123.17,False
4aca98,Sweden,244.06,False
a3ed91,United States,259.87,False
aaf4c8,United States,271.49,False
34448d,Spain,249.58,False
8a0479,Indonesia,48.36,True
a38a21,United States,246.38,False
ac47de,United States,155.12,False
a15d8f,United States,58.21,False
ac21a7,United States,113.0,False
e49eed,Brazil,250.78,False
ad67f3,United States,287.46,False
3c5eee,Germany,171.54,False
a00952,United States,6.43,True
e49ef1,Brazil,233.97,False
e49ef4,Brazil,77.17,False
a5f7a8,United States,46.24,False
ad9d3c,United States,45.79,False
4400f3,Austria,245.23,False
a40d8d,United States,207.13,False
ab5d80,United States,153.24,False
8014f0,India,181.66,False
ac6a1f,United States,214.33,False
adb7b8,United States,136.96,False
471f9e,Hungary,235.6,False
e48ba9,Brazil,246.47,False
aaf4ee,United States,160.93,False
471f81,Hungary,234.94,False
471f86,Hungary,4.15,False
471f6f,Hungary,240.13,False
a2ba4f,United States,223.02,False
ac21af,United States,144.67,False
a3b7f4,United States,207.69,False
471f6d,Hungary,236.58,False
471f6e,Hungary,214.61,False
e49ed5,Brazil,252.37,False
471f6b,Hungary,242.08,False
a3a4bb,United States,60.81,False
3c058b,Germany,244.66,False
344459,Spain,238.56,False
344455,Spain,119.25,False
8a03b2,Indonesia,193.74,False
471f66,Hungary,250.87,False
471f67,Hungary,215.24,False
471f64,Hungary,254.86,False
471f65,Hungary,236.21,False
a831d5,United States,86.77,False
a99a3d,United States,220.05,False
471f71,Hungary,253.42,False
471f70,Hungary,174.51,False
471f76,Hungary,249.02,False
aa91f5,United States,244.99,False
a03ce6,United States,209.9,False
a35605,United States,200.44,False
0d1258,Mexico,223.3,False
4400b7,Austria,227.04,False
471f5c,Hungary,245.27,False
ad9be5,United States,83.49,False
0d124d,Mexico,3.86,True
a4d91c,United States,52.83,False
ae6244,United States,46.04,False
471f41,Hungary,161.19,False
a00970,United States,51.12,False
a03cb6,United States,138.25,False
e48c4c,Brazil,197.89,False
a5f90e,United States,0.51,True
e4a6cb,Brazil,135.7,False
4520aa,Bulgaria,222.87,False
471f55,Hungary,259.14,False
c07c7b,Canada,65.14,False
a9b4c6,United States,45.32,False
c07c7a,Canada,233.61,False
34440a,Spain,246.24,False
